hour,stock_type,percentage_change
2024-01-01 01:00:00,Amazon,0.0
2024-01-01 02:00:00,Amazon,0.0
2024-01-01 03:00:00,Amazon,0.0
2024-01-01 04:00:00,Amazon,0.0
2024-01-01 05:00:00,Amazon,0.0
2024-01-01 06:00:00,Amazon,0.0
2024-01-01 07:00:00,Amazon,0.0
2024-01-01 08:00:00,Amazon,0.0
2024-01-01 09:00:00,Amazon,0.0
2024-01-01 10:00:00,Amazon,0.0
2024-01-01 11:00:00,Amazon,0.0
2024-01-01 12:00:00,Amazon,0.0
2024-01-01 13:00:00,Amazon,0.0
2024-01-01 14:00:00,Amazon,0.0
2024-01-01 15:00:00,Amazon,0.0
2024-01-01 16:00:00,Amazon,0.0
2024-01-01 17:00:00,Amazon,0.0
2024-01-01 18:00:00,Amazon,0.0
2024-01-01 19:00:00,Amazon,0.0
2024-01-01 20:00:00,Amazon,0.0
2024-01-01 21:00:00,Amazon,0.0
2024-01-01 22:00:00,Amazon,0.0
2024-01-01 23:00:00,Amazon,0.0
2024-01-02 00:00:00,Amazon,0.0
2024-01-02 01:00:00,Amazon,0.0
2024-01-02 02:00:00,Amazon,0.0
2024-01-02 03:00:00,Amazon,0.0
2024-01-02 04:00:00,Amazon,0.0
2024-01-02 05:00:00,Amazon,0.0
2024-01-02 06:00:00,Amazon,0.0
2024-01-02 07:00:00,Amazon,0.0
2024-01-02 08:00:00,Amazon,0.0
2024-01-02 09:00:00,Amazon,0.0
2024-01-02 10:00:00,Amazon,0.0
2024-01-02 11:00:00,Amazon,0.0
2024-01-02 12:00:00,Amazon,0.0
2024-01-02 13:00:00,Amazon,0.0
2024-01-02 14:00:00,Amazon,0.0
2024-01-02 15:00:00,Amazon,-2.1455
2024-01-02 16:00:00,Amazon,0.8543
2024-01-02 17:00:00,Amazon,-0.0557
2024-01-02 18:00:00,Amazon,-0.0244
2024-01-02 19:00:00,Amazon,-0.1569
2024-01-02 20:00:00,Amazon,-0.1938
2024-01-02 21:00:00,Amazon,0.4186
2024-01-02 22:00:00,Amazon,0.0
2024-01-02 23:00:00,Amazon,0.0
2024-01-03 00:00:00,Amazon,0.0
2024-01-03 01:00:00,Amazon,0.0
2024-01-03 02:00:00,Amazon,0.0
2024-01-03 03:00:00,Amazon,0.0
2024-01-03 04:00:00,Amazon,0.0
2024-01-03 05:00:00,Amazon,0.0
2024-01-03 06:00:00,Amazon,0.0
2024-01-03 07:00:00,Amazon,0.0
2024-01-03 08:00:00,Amazon,0.0
2024-01-03 09:00:00,Amazon,0.0
2024-01-03 10:00:00,Amazon,0.0
2024-01-03 11:00:00,Amazon,0.0
2024-01-03 12:00:00,Amazon,0.0
2024-01-03 13:00:00,Amazon,0.0
2024-01-03 14:00:00,Amazon,0.0
2024-01-03 15:00:00,Amazon,0.0467
2024-01-03 16:00:00,Amazon,-0.01
2024-01-03 17:00:00,Amazon,-0.2433
2024-01-03 18:00:00,Amazon,0.01
2024-01-03 19:00:00,Amazon,0.0301
2024-01-03 20:00:00,Amazon,-0.4676
2024-01-03 21:00:00,Amazon,-0.3826
2024-01-03 22:00:00,Amazon,0.0
2024-01-03 23:00:00,Amazon,0.0
2024-01-04 00:00:00,Amazon,0.0
2024-01-04 01:00:00,Amazon,0.0
2024-01-04 02:00:00,Amazon,0.0
2024-01-04 03:00:00,Amazon,0.0
2024-01-04 04:00:00,Amazon,0.0
2024-01-04 05:00:00,Amazon,0.0
2024-01-04 06:00:00,Amazon,0.0
2024-01-04 07:00:00,Amazon,0.0
2024-01-04 08:00:00,Amazon,0.0
2024-01-04 09:00:00,Amazon,0.0
2024-01-04 10:00:00,Amazon,0.0
2024-01-04 11:00:00,Amazon,0.0
2024-01-04 12:00:00,Amazon,0.0
2024-01-04 13:00:00,Amazon,0.0
2024-01-04 14:00:00,Amazon,0.0
2024-01-04 15:00:00,Amazon,-1.5965
2024-01-04 16:00:00,Amazon,0.5132
2024-01-04 17:00:00,Amazon,-0.4505
2024-01-04 18:00:00,Amazon,-0.3582
2024-01-04 19:00:00,Amazon,-0.2507
2024-01-04 20:00:00,Amazon,0.0998
2024-01-04 21:00:00,Amazon,-0.5674
2024-01-04 22:00:00,Amazon,0.0
2024-01-04 23:00:00,Amazon,0.0
2024-01-05 00:00:00,Amazon,0.0
2024-01-05 01:00:00,Amazon,0.0
2024-01-05 02:00:00,Amazon,0.0
2024-01-05 03:00:00,Amazon,0.0
2024-01-01 01:00:00,Google,0.0
2024-01-01 02:00:00,Google,0.0
2024-01-01 03:00:00,Google,0.0
2024-01-01 04:00:00,Google,0.0
2024-01-01 05:00:00,Google,0.0
2024-01-01 06:00:00,Google,0.0
2024-01-01 07:00:00,Google,0.0
2024-01-01 08:00:00,Google,0.0
2024-01-01 09:00:00,Google,0.0
2024-01-01 10:00:00,Google,0.0
2024-01-01 11:00:00,Google,0.0
2024-01-01 12:00:00,Google,0.0
2024-01-01 13:00:00,Google,0.0
2024-01-01 14:00:00,Google,0.0
2024-01-01 15:00:00,Google,0.0
2024-01-01 16:00:00,Google,0.0
2024-01-01 17:00:00,Google,0.0
2024-01-01 18:00:00,Google,0.0
2024-01-01 19:00:00,Google,0.0
2024-01-01 20:00:00,Google,0.0
2024-01-01 21:00:00,Google,0.0
2024-01-01 22:00:00,Google,0.0
2024-01-01 23:00:00,Google,0.0
2024-01-02 00:00:00,Google,0.0
2024-01-02 01:00:00,Google,0.0
2024-01-02 02:00:00,Google,0.0
2024-01-02 03:00:00,Google,0.0
2024-01-02 04:00:00,Google,0.0
2024-01-02 05:00:00,Google,0.0
2024-01-02 06:00:00,Google,0.0
2024-01-02 07:00:00,Google,0.0
2024-01-02 08:00:00,Google,0.0
2024-01-02 09:00:00,Google,0.0
2024-01-02 10:00:00,Google,0.0
2024-01-02 11:00:00,Google,0.0
2024-01-02 12:00:00,Google,0.0
2024-01-02 13:00:00,Google,0.0
2024-01-02 14:00:00,Google,0.0
2024-01-02 15:00:00,Google,-1.8503
2024-01-02 16:00:00,Google,0.2663
2024-01-02 17:00:00,Google,0.2581
2024-01-02 18:00:00,Google,0.0725
2024-01-02 19:00:00,Google,-0.174
2024-01-02 20:00:00,Google,-0.0835
2024-01-02 21:00:00,Google,0.4361
2024-01-02 22:00:00,Google,0.0
2024-01-02 23:00:00,Google,0.0
2024-01-03 00:00:00,Google,0.0
2024-01-03 01:00:00,Google,0.0
2024-01-03 02:00:00,Google,0.0
2024-01-03 03:00:00,Google,0.0
2024-01-03 04:00:00,Google,0.0
2024-01-03 05:00:00,Google,0.0
2024-01-03 06:00:00,Google,0.0
2024-01-03 07:00:00,Google,0.0
2024-01-03 08:00:00,Google,0.0
2024-01-03 09:00:00,Google,0.0
2024-01-03 10:00:00,Google,0.0
2024-01-03 11:00:00,Google,0.0
2024-01-03 12:00:00,Google,0.0
2024-01-03 13:00:00,Google,0.0
2024-01-03 14:00:00,Google,0.0
2024-01-03 15:00:00,Google,-0.0507
2024-01-03 16:00:00,Google,0.391
2024-01-03 17:00:00,Google,0.137
2024-01-03 18:00:00,Google,0.2017
2024-01-03 19:00:00,Google,0.2659
2024-01-03 20:00:00,Google,-0.1147
2024-01-03 21:00:00,Google,-0.3014
2024-01-03 22:00:00,Google,0.0
2024-01-03 23:00:00,Google,0.0
2024-01-04 00:00:00,Google,0.0
2024-01-04 01:00:00,Google,0.0
2024-01-04 02:00:00,Google,0.0
2024-01-04 03:00:00,Google,0.0
2024-01-04 04:00:00,Google,0.0
2024-01-04 05:00:00,Google,0.0
2024-01-04 06:00:00,Google,0.0
2024-01-04 07:00:00,Google,0.0
2024-01-04 08:00:00,Google,0.0
2024-01-04 09:00:00,Google,0.0
2024-01-04 10:00:00,Google,0.0
2024-01-04 11:00:00,Google,0.0
2024-01-04 12:00:00,Google,0.0
2024-01-04 13:00:00,Google,0.0
2024-01-04 14:00:00,Google,0.0
2024-01-04 15:00:00,Google,-0.3851
2024-01-04 16:00:00,Google,0.2204
